Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.39977E-9,0.00000094,0.000063732,1,0,0
9.40749E-9,0.000001881,0.000063785,0.99993311,0,0
9.69633E-9,0.00000285,0.000065743,0.999866221,0,0
1.1554E-8,0.000010355,0.000078338,0.999397993,0,0
1.33183E-8,0.000025556,0.0000903,0.998595318,0,0
1.66353E-8,0.000051218,0.000112788,0.997458194,0,0
2.5156E-8,0.000102375,0.000170554,0.995852843,0,0
3.25132E-8,0.000250226,0.000220428,0.992508361,0,0
4.00903E-8,0.000500942,0.000271792,0.987892977,0,0
5.17118E-8,0.001005088,0.000350566,0.980535117,0,0
7.50567E-8,0.002506013,0.000508786,0.964615385,0,0
1.00854E-7,0.005001602,0.0006836,0.945685619,0,0
1.51263E-7,0.010005897,0.001025102,0.919063545,0,0
2.61275E-7,0.025010626,0.001769983,0.869230769,0,0
4.57846E-7,0.050039038,0.003099573,0.821337793,0,0
8.75011E-7,0.100072557,0.005915374,0.769297659,0,0.000935454
1.5229E-6,0.200011598,0.010272775,0.713177258,0.000200441,0.000935454
2.07629E-6,0.300087139,0.013979442,0.675451505,0.000400882,0.000935454
2.65544E-6,0.400012717,0.017843835,0.647157191,0.001202646,0.002338634
3.31838E-6,0.500222866,0.022248781,0.624615385,0.001603528,0.002338634
4.06157E-6,0.600140302,0.02716336,0.606555184,0.002204851,0.002806361
4.8361E-6,0.700290132,0.032258963,0.591438127,0.002204851,0.003741815
5.22789E-6,0.750432823,0.034826351,0.584749164,0.002204851,0.004209542
5.64717E-6,0.800434444,0.037566345,0.578595318,0.002605733,0.004677268
6.37877E-6,0.900211855,0.042328709,0.567491639,0.003207056,0.005612722
7.24112E-6,1.000282088,0.047911982,0.557658863,0.003607937,0.006080449
8.12694E-6,1.100695318,0.053613315,0.548896321,0.00420926,0.00748363
8.84305E-6,1.200001596,0.058197345,0.541070234,0.004810583,0.00748363
9.5211E-6,1.300061002,0.06251731,0.533779264,0.005411906,0.007951356
1.03744E-5,1.400577422,0.067925412,0.527023411,0.005812788,0.00888681
1.10738E-5,1.500466646,0.072335418,0.520802676,0.00621367,0.009822264
1.31252E-5,1.750059253,0.085149496,0.506956522,0.007416316,0.010289991
1.4916E-5,2.001126223,0.096190751,0.494983278,0.00821808,0.010757717
1.68761E-5,2.250315402,0.10812308,0.484481605,0.009019844,0.011225444
1.88405E-5,2.500706364,0.119923533,0.475117057,0.009220285,0.012160898
2.10215E-5,2.751941358,0.132842636,0.466688963,0.010022049,0.013096352
2.29302E-5,3.002113845,0.143992346,0.459063545,0.01042293,0.014499532
2.4786E-5,3.250582906,0.15469643,0.452107023,0.011024253,0.014967259
2.71225E-5,3.500076586,0.167982318,0.445685619,0.013028663,0.015902713
2.93171E-5,3.751754571,0.180271638,0.439732441,0.014030868,0.01637044
3.16697E-5,4.002290039,0.193243971,0.434247492,0.016035278,0.018709074
3.33133E-5,4.251744237,0.202184796,0.42909699,0.017037482,0.021047708
3.46836E-5,4.500256897,0.209563129,0.424214047,0.018039687,0.021047708
3.68347E-5,4.750826994,0.221007938,0.419531773,0.019242333,0.021047708
3.85196E-5,5.000316808,0.229856746,0.415117057,0.02064542,0.023386342
4.0205E-5,5.252421459,0.238607801,0.41083612,0.021647625,0.02525725
4.17741E-5,5.502571667,0.246665132,0.406755853,0.023251153,0.027128157
4.33274E-5,5.754185398,0.254557633,0.402809365,0.02485468,0.030402245
4.48898E-5,6.00101161,0.262413417,0.399063545,0.026658649,0.031337699
4.65824E-5,6.252708105,0.270829802,0.395384615,0.029264382,0.033676333
4.85769E-5,6.500592001,0.280624223,0.391906355,0.030467027,0.036014967
5.06471E-5,6.753341624,0.290651511,0.388494983,0.031669673,0.037885875
5.25549E-5,7.000861558,0.299768165,0.385284281,0.034475847,0.040224509
5.42149E-5,7.252354076,0.307605746,0.382140468,0.036279816,0.041627689
5.55896E-5,7.504913899,0.314029531,0.379063545,0.038484666,0.043498597
5.72292E-5,7.753252012,0.321613135,0.376120401,0.041090399,0.044434051
5.90851E-5,8.008928728,0.330096214,0.373177258,0.043094809,0.045837231
6.07594E-5,8.254872906,0.33765864,0.370434783,0.0455001,0.048175865
6.21813E-5,8.500743676,0.344013618,0.367759197,0.047103628,0.0505145
6.3983E-5,8.753042205,0.35197844,0.365083612,0.050110243,0.054724041
6.52082E-5,9.004716805,0.357339424,0.362474916,0.052315093,0.057062675
6.72341E-5,9.255762899,0.366107146,0.35993311,0.054920826,0.058465856
6.87071E-5,9.500097403,0.372406332,0.357525084,0.058528763,0.06080449
7.00548E-5,9.752110497,0.378115392,0.355050167,0.060533173,0.064546305
7.14666E-5,10.004534279,0.384040099,0.35270903,0.064341551,0.065949486
7.31574E-5,10.251021071,0.391061242,0.350434783,0.067749048,0.068755847
7.49536E-5,10.50290067,0.398432297,0.348160535,0.07015434,0.072497661
7.69273E-5,10.753137984,0.406429482,0.345953177,0.073962718,0.077642657
7.84186E-5,11.002187647,0.412400921,0.343812709,0.076969333,0.081852198
8.02682E-5,11.255929146,0.419724073,0.341672241,0.079775506,0.084658559
8.19712E-5,11.507414494,0.426386097,0.339598662,0.082180798,0.08746492
8.3342E-5,11.755383004,0.431692953,0.337591973,0.08478653,0.090271282
8.48482E-5,12.008209262,0.437467319,0.335585284,0.087793145,0.093077643
8.66074E-5,12.257295629,0.444137373,0.333645485,0.090198437,0.095416277
8.85101E-5,12.502713407,0.451262418,0.331772575,0.094407697,0.098690365
9.0052E-5,12.753079067,0.456969398,0.329899666,0.098015634,0.10243218
9.12644E-5,13.006996335,0.461415139,0.328026756,0.101423131,0.10383536
9.31814E-5,13.255589423,0.468370519,0.326220736,0.104630186,0.108980355
9.49068E-5,13.5003406,0.474553909,0.324481605,0.108238124,0.114125351
9.63311E-5,13.758687554,0.479603858,0.322675585,0.112046502,0.117399439
9.74916E-5,14.000799329,0.483682701,0.321003344,0.115253558,0.119270346
9.91186E-5,14.256337305,0.48934697,0.319264214,0.118260172,0.123012161
1.00471E-4,14.50591529,0.494008804,0.317591973,0.121467228,0.125350795
1.02307E-4,14.759419912,0.500268483,0.315919732,0.124273401,0.131431244
1.03354E-4,15.00645457,0.503804437,0.314314381,0.126879134,0.133302152
1.04679E-4,15.25580037,0.508242391,0.31270903,0.130687513,0.136576239
1.0593E-4,15.508604745,0.512393424,0.311103679,0.134495891,0.140318054
1.07513E-4,15.75400974,0.517601221,0.309565217,0.137502506,0.14546305
1.08804E-4,16.002493722,0.521803766,0.308026756,0.141110443,0.148269411
1.09884E-4,16.253977012,0.525294403,0.306488294,0.143916617,0.152011225
1.11316E-4,16.508279706,0.529879355,0.304949833,0.146923231,0.157623948
1.12403E-4,16.75423092,0.533332913,0.303478261,0.150130287,0.159494855
1.13344E-4,17.002552673,0.536300939,0.302006689,0.153337342,0.161365762
1.14435E-4,17.253228481,0.539717571,0.300535117,0.157145721,0.163704397
1.15264E-4,17.505940383,0.542299397,0.299063545,0.160152335,0.166510758
1.16356E-4,17.757852811,0.545675669,0.297591973,0.163359391,0.168849392
1.17411E-4,18.006163095,0.548912783,0.296187291,0.166165564,0.171655753
1.18989E-4,18.254634245,0.553715161,0.294782609,0.169973943,0.176333022
1.20254E-4,18.506143409,0.55752521,0.293377926,0.17358188,0.179139383
1.21231E-4,18.75989326,0.560446669,0.291973244,0.176388054,0.182881197
1.22122E-4,19.003290627,0.563094512,0.290635452,0.179595109,0.185687558
1.23379E-4,19.260954105,0.566800826,0.289230769,0.182601724,0.1898971
1.24155E-4,19.508561288,0.56907505,0.287892977,0.18600922,0.191768007
1.25085E-4,19.757823521,0.571784242,0.286555184,0.189416717,0.194106642
1.26828E-4,20.003469628,0.576814812,0.285217391,0.192824213,0.198316183
1.27599E-4,20.251705883,0.579022494,0.283946488,0.196031269,0.201122544
1.28551E-4,20.50800556,0.581731291,0.282608696,0.19843656,0.204396632
1.2944E-4,20.753235589,0.584245482,0.281337793,0.201643616,0.209073901
1.30628E-4,21.00036542,0.58757842,0.28006689,0.205051112,0.212347989
1.31703E-4,21.262872649,0.590575077,0.278729097,0.208458609,0.220299345
1.32581E-4,21.500821885,0.593003918,0.277525084,0.211866105,0.224508887
1.33462E-4,21.753645787,0.595429418,0.276254181,0.215273602,0.229653882
1.34164E-4,22.007969234,0.597350985,0.274983278,0.218480657,0.232460243
1.35001E-4,22.250442968,0.599629212,0.273779264,0.221687713,0.235266604
1.35911E-4,22.507906762,0.602090912,0.272508361,0.225095209,0.238540692
1.36875E-4,22.753527387,0.604683087,0.271304348,0.228502706,0.246024322
1.37651E-4,23.000619135,0.606758309,0.270100334,0.231709761,0.250233863
1.38364E-4,23.262923165,0.608655218,0.268829431,0.235117258,0.255378859
1.38993E-4,23.512633888,0.610319978,0.267625418,0.238123873,0.2595884
1.3955E-4,23.763375513,0.611789705,0.266421405,0.241130487,0.261927035
1.39918E-4,24.000926397,0.612756144,0.265284281,0.244537984,0.262862488
1.40316E-4,24.253168987,0.613800707,0.264080268,0.247745039,0.266136576
1.40876E-4,24.506320282,0.615263556,0.262876254,0.250751654,0.268942937
1.4157E-4,24.760535295,0.617069123,0.261672241,0.253958709,0.273152479
1.42306E-4,25.001965908,0.618975421,0.260535117,0.256965324,0.275491113
1.42992E-4,25.258688868,0.620745159,0.259331104,0.259971938,0.278765201
1.4375E-4,25.502507305,0.622689476,0.25819398,0.263379435,0.282507016
1.442E-4,25.761655391,0.623837252,0.256989967,0.26658649,0.285313377
1.44873E-4,26.007455846,0.625551595,0.255852843,0.269392664,0.288587465
1.4525E-4,26.253538227,0.626505557,0.254715719,0.272399278,0.289055192
1.45617E-4,26.501389931,0.627434744,0.253578595,0.275806775,0.290926099
1.46207E-4,26.755569701,0.628921964,0.252374582,0.279214271,0.293264733
1.46799E-4,27.00153762,0.630408154,0.251237458,0.282220886,0.297006548
1.47478E-4,27.26352279,0.632105683,0.250100334,0.285427941,0.301683817
1.47953E-4,27.514566919,0.633288954,0.248963211,0.288634997,0.30261927
1.486E-4,27.751899154,0.634894295,0.247892977,0.291441171,0.308699719
1.49415E-4,28.005212734,0.63690628,0.246755853,0.294447785,0.31150608
1.49785E-4,28.25954505,0.637815958,0.245618729,0.2974544,0.313844715
1.5014E-4,28.514466553,0.638686568,0.244481605,0.300661455,0.317118803
1.50402E-4,28.752701099,0.639328574,0.243411371,0.30366807,0.317586529
1.50728E-4,29.010854199,0.64012435,0.242274247,0.306674684,0.321328344
1.51221E-4,29.252289435,0.64132649,0.241204013,0.309480858,0.324602432
1.51759E-4,29.509869773,0.642632029,0.24006689,0.312287031,0.328811974
1.52223E-4,29.753058986,0.643754489,0.238996656,0.314892764,0.332086062
1.52729E-4,30.012279421,0.644975143,0.237859532,0.317899379,0.33536015
1.53199E-4,30.257070598,0.646104938,0.236789298,0.320905993,0.338166511
1.53588E-4,30.502473897,0.647036771,0.235719064,0.324113049,0.339569691
1.54244E-4,30.764093653,0.648603523,0.23458194,0.327119663,0.340972872
1.54634E-4,31.011237658,0.649529855,0.233511706,0.330126278,0.343311506
1.55002E-4,31.258997905,0.650404207,0.232441472,0.333333333,0.34565014
1.55346E-4,31.500006168,0.651218954,0.231371237,0.336339948,0.348456501
1.5568E-4,31.756146586,0.652008392,0.230301003,0.339547003,0.349859682
1.55974E-4,32.00551034,0.652701149,0.229230769,0.342754059,0.351262862
1.56283E-4,32.255347827,0.653428298,0.228160535,0.345961114,0.353601497
1.5665E-4,32.505690705,0.654288783,0.227090301,0.348967729,0.357811038
1.57091E-4,32.756742643,0.655322019,0.226020067,0.351974344,0.361552853
1.57478E-4,33.00130801,0.65622348,0.224949833,0.355181399,0.365294668
1.58E-4,33.260949425,0.657439056,0.223879599,0.358388455,0.367165575
1.58459E-4,33.514155047,0.658504565,0.222809365,0.360593305,0.36950421
1.58666E-4,33.751983417,0.658981415,0.22180602,0.36359992,0.371842844
1.58918E-4,34.00605036,0.659564067,0.220735786,0.366606534,0.373713751
1.59251E-4,34.260557364,0.660332461,0.219665552,0.36981359,0.376987839
1.5943E-4,34.515499359,0.660744473,0.218595318,0.372820204,0.377923293
1.59839E-4,34.754998982,0.661683048,0.217591973,0.375626378,0.3797942
1.60083E-4,35.010935366,0.662243676,0.216521739,0.378632993,0.381665108
1.60459E-4,35.251352634,0.663102625,0.215518395,0.381639607,0.383536015
1.60815E-4,35.50794181,0.663914568,0.214448161,0.384445781,0.387745557
1.61214E-4,35.766026055,0.664822577,0.213377926,0.387051513,0.390551918
1.6165E-4,36.008279299,0.66581346,0.212374582,0.390058128,0.394761459
1.61962E-4,36.25095796,0.666520014,0.211371237,0.39266386,0.39616464
1.6236E-4,36.505228452,0.667418131,0.210301003,0.395670475,0.399438728
1.62798E-4,36.754292502,0.668404006,0.209297659,0.39867709,0.402245089
1.63171E-4,37.009351758,0.669242066,0.208227425,0.401282822,0.403648269
1.63545E-4,37.260191174,0.670080153,0.20722408,0.404289437,0.40645463
1.63806E-4,37.500789905,0.670662486,0.206220736,0.40709561,0.407390084
1.64126E-4,37.751681906,0.671376532,0.205217391,0.409901784,0.411131899
1.64542E-4,38.014656954,0.672301908,0.204147157,0.413108839,0.415341441
1.65062E-4,38.261828353,0.673454818,0.203143813,0.415915013,0.419083255
1.65379E-4,38.509668783,0.674156022,0.202140468,0.418721187,0.422357343
1.65622E-4,38.757999161,0.674693655,0.201137124,0.421727801,0.424228251
1.65902E-4,39.006676846,0.675309064,0.200133779,0.424533975,0.426566885
1.6634E-4,39.254059634,0.676273096,0.199130435,0.427540589,0.428905519
1.66518E-4,39.505570263,0.676663403,0.19812709,0.430547204,0.430776427
1.66912E-4,39.755608011,0.677525794,0.197123746,0.433553818,0.434985968
1.67178E-4,40.006187669,0.678106007,0.196120401,0.436560433,0.437324602
1.6763E-4,40.255287327,0.679091477,0.195117057,0.439166166,0.441066417
1.6787E-4,40.508944828,0.679613329,0.194113712,0.44217278,0.443872778
1.68145E-4,40.761008612,0.68021158,0.193110368,0.444978954,0.446679139
1.68503E-4,41.013484102,0.680985366,0.192107023,0.447785127,0.450420954
1.68756E-4,41.266400354,0.68153187,0.191103679,0.450791742,0.453695042
1.6905E-4,41.502910353,0.682166825,0.190167224,0.453397474,0.456501403
1.69704E-4,41.757038694,0.683572651,0.18916388,0.456003207,0.463517306
1.70026E-4,42.011827462,0.684262741,0.188160535,0.45860894,0.466791394
1.70392E-4,42.250087883,0.685046314,0.18722408,0.461415113,0.469597755
1.70824E-4,42.505970012,0.685966716,0.186220736,0.464221287,0.471000935
1.71136E-4,42.7504597,0.686631808,0.185217391,0.467227901,0.472871843
1.71379E-4,43.002219408,0.687146858,0.184280936,0.469833634,0.476145931
1.71556E-4,43.259447516,0.687521646,0.183277592,0.472639808,0.477549111
1.71919E-4,43.504995002,0.688290342,0.182274247,0.475445981,0.480355472
1.72262E-4,43.758116086,0.689014679,0.181337793,0.478252155,0.482694107
1.72761E-4,44.016816472,0.690064312,0.180334448,0.480857887,0.488774556
1.73065E-4,44.258934698,0.690702665,0.179397993,0.483664061,0.490177736
1.7333E-4,44.501421854,0.691258374,0.178461538,0.486269794,0.494855005
1.73604E-4,44.761660083,0.69183198,0.177458194,0.489276408,0.497661366
1.73936E-4,45.004997643,0.692523421,0.176521739,0.491882141,0.501403181
1.74259E-4,45.251021835,0.693197609,0.175518395,0.494888755,0.505144995
1.74588E-4,45.510425641,0.693880824,0.17458194,0.497694929,0.509354537
1.74931E-4,45.755093502,0.694592182,0.173645485,0.50010022,0.512628625
1.75246E-4,46.000206363,0.695243106,0.17270903,0.502906394,0.514967259
1.75612E-4,46.262102602,0.695997354,0.171705686,0.505913009,0.518241347
1.75834E-4,46.509378803,0.696456553,0.170769231,0.508518741,0.519644528
1.76168E-4,46.755804978,0.697142609,0.169832776,0.511324915,0.524321796
1.76294E-4,47.002529658,0.697401094,0.168896321,0.514131088,0.525724977
1.76573E-4,47.267248317,0.697972482,0.167892977,0.517137703,0.528531338
1.76845E-4,47.514638845,0.698528856,0.166956522,0.519943877,0.529934518
