Rowid_,VALUE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,AFG,1,31114,777850000000.000000000000000,0.000000000000000,0.185800313949585,0.185800313949585,0.029305769847642,0.030697652852169,911.819723039523524
,AGO,2,51260,1281500000000.000000000000000,0.003482615109533,0.068214729428291,0.064732114318758,0.026679979321195,0.006870738832357,1367.615740004461259
,ALA,3,40,1000000000.000000000000000,0.004449892323464,0.031296782195568,0.026846889872104,0.016531683003996,0.006270353551301,0.661267320159823
,ALB,4,1479,36975000000.000000000000000,0.006267438642681,0.080611079931259,0.074343641288579,0.030397909070649,0.013101908937829,44.958507515490055
,AND,5,25,625000000.000000000000000,0.013131063431501,0.044075924903154,0.030944861471653,0.020342655740678,0.007110959533534,0.508566393516958
,ARE,6,2970,74250000000.000000000000000,0.025026243180037,0.062775485217571,0.037749242037535,0.035313359013937,0.005434877028700,104.880676271393895
,ARG,7,137322,3433050000000.000000000000000,0.000000000000000,0.201640889048576,0.201640889048576,0.044065638175379,0.043745936503089,6051.181565519407741
,ARM,8,1555,38875000000.000000000000000,0.000370659603504,0.082323357462883,0.081952697859379,0.009377811816944,0.010225168072078,14.582497375347884
,AUS,12,339157,8478925000000.000000000000000,0.005231527145952,0.085573732852936,0.080342205706984,0.032250634023353,0.007636002491935,10938.028283458203077
,AUT,13,4962,124050000000.000000000000000,0.004872709512711,0.116274863481522,0.111402153968811,0.019816259721314,0.007500703983643,98.328280737157911
,AZE,14,4466,111650000000.000000000000000,0.001230708672665,0.092426255345345,0.091195546672679,0.024787868729406,0.016269483017924,110.702621745527722
,BDI,15,1093,27325000000.000000000000000,0.009513579308987,0.061111956834793,0.051598377525806,0.031407616213680,0.008988211467036,34.328524521552026
,BEL,16,1916,47900000000.000000000000000,0.006376171018928,0.052980713546276,0.046604542527348,0.024552829258119,0.009025819535249,47.043220858555287
,BEN,17,4702,117550000000.000000000000000,0.005054920911789,0.086832948029041,0.081778027117252,0.019021188774214,0.011654923896263,89.437629616353661
,BFA,19,11267,281675000000.000000000000000,0.005393085069954,0.049695160239935,0.044302075169981,0.024250252583250,0.007211529020677,273.227595855481923
,BGD,20,5667,141675000000.000000000000000,0.002955011557788,0.084458522498608,0.081503510940820,0.017582259801109,0.009661445008281,99.638666292885318
,BGR,21,6046,151150000000.000000000000000,0.005716160405427,0.061230875551701,0.055514715146273,0.022371193067270,0.007798865073070,135.256233284715563
,BHR,22,11,275000000.000000000000000,0.024931475520134,0.034625958651304,0.009694483131170,0.030684930695729,0.002728586789648,0.337534237653017
,BIH,24,2846,71150000000.000000000000000,0.004155479837209,0.078049570322037,0.073894090484828,0.021184000128374,0.009647612212227,60.289664365351200
,BLR,25,13896,347400000000.000000000000000,0.005957916844636,0.051895245909691,0.045937329065055,0.020754978836188,0.005820099097547,288.411185907665640
,BLZ,26,874,21850000000.000000000000000,0.003297602524981,0.040294766426086,0.036997163901106,0.014307821605853,0.005532381866107,12.505036083515733
,BOL,28,45570,1139250000000.000000000000000,0.001814519520849,0.210929363965988,0.209114844445139,0.030933422184771,0.041809804741820,1409.636048960033804
,BRA,29,349049,8726225000000.000000000000000,0.001530200708658,0.107506677508354,0.105976476799697,0.019953115762012,0.008328284464173,6964.615103614516556
,BRN,31,219,5475000000.000000000000000,0.002555466489866,0.038271237164736,0.035715770674869,0.014334276657696,0.004981839516285,3.139206588035449
,BTN,32,1753,43825000000.000000000000000,0.000657930853777,0.145001575350761,0.144343644496985,0.042775693615177,0.025708556510601,74.985790907405317
,BWA,33,24968,624200000000.000000000000000,0.012069266289473,0.052634395658970,0.040565129369497,0.030900281424643,0.004682803514355,771.518226610496640
,CAF,34,25159,628975000000.000000000000000,0.003417941974476,0.044635221362114,0.041217279387638,0.020981217796955,0.005426129529764,527.866458553588018
,CAN,35,727658,18191450000000.000000000000000,0.000417843606556,0.162121295928955,0.161703452322399,0.053860167477163,0.033587312000699,39191.781746097665746
,CHE,36,2410,60250000000.000000000000000,0.001955996733159,0.141703814268112,0.139747817534953,0.020893493431323,0.013275939257925,50.353319169487804
,CHL,37,34810,870250000000.000000000000000,0.000000000000000,0.227486878633499,0.227486878633499,0.030725650977853,0.026144496659993,1069.559910539072007
,CHN,38,470342,11758550000000.000000000000000,0.000000000000000,0.259966760873795,0.259966760873795,0.017152946045957,0.025480366438107,8067.750949147364736
,CIV,39,12698,317450000000.000000000000000,0.003068582620472,0.082731083035469,0.079662500414997,0.023450993181282,0.007994346635852,297.780711415922269
,CMR,40,18781,469525000000.000000000000000,0.002314167562872,0.065980054438114,0.063665886875242,0.018254520294149,0.009328174569764,342.838145644403994
,COD,41,90321,2258025000000.000000000000000,0.001649122801609,0.076617635786533,0.074968512984924,0.018995427540696,0.009624899538776,1715.686010903213173
,COG,42,13743,343575000000.000000000000000,0.002757541369647,0.049142509698868,0.046384968329221,0.013964678226970,0.005729335421215,191.916572873247787
,COL,43,45543,1138575000000.000000000000000,0.001085130963475,0.075327418744564,0.074242287781090,0.019032499239086,0.006969975066392,866.797112845699303
,CRI,46,1985,49625000000.000000000000000,0.002012174809352,0.062551431357861,0.060539256548509,0.017298340859004,0.008423424912623,34.337206605123356
,CUB,47,4227,105675000000.000000000000000,0.005104545503855,0.097167827188969,0.092063281685114,0.024305472007012,0.007484190956588,102.739230173639953
,CYP,49,258,6450000000.000000000000000,0.010495654307306,0.059165008366108,0.048669354058802,0.030121900599681,0.008231382718735,7.771450354717672
,CZE,50,4877,121925000000.000000000000000,0.004277713131160,0.052491627633572,0.048213914502412,0.021169808185271,0.005943235139937,103.245154519565403
,DEU,51,22506,562650000000.000000000000000,0.005000331439078,0.066876687109470,0.061876355670393,0.021621574153076,0.005967985988541,486.615147889126092
,DJI,52,857,21425000000.000000000000000,0.022216865792871,0.083542734384537,0.061325868591666,0.056605483375950,0.011844786191179,48.510899253189564
,DNK,54,2584,64600000000.000000000000000,0.008969594724476,0.048172507435083,0.039202912710607,0.021748155530257,0.005135859314397,56.197233890183270
,DOM,55,364,9100000000.000000000000000,0.006326181814075,0.050689190626144,0.044363008812070,0.021209384905747,0.007832849335896,7.720216105692089
,DZA,56,105243,2631075000000.000000000000000,0.005703029688448,0.120906166732311,0.115203137043864,0.034850531058899,0.009543144283085,3667.774440231733024
,ECU,57,9789,244725000000.000000000000000,0.001855344162323,0.089439578354359,0.087584234192036,0.018317739651827,0.007905206977233,179.312353451736271
,EGY,58,43930,1098250000000.000000000000000,0.010533259250224,0.059665106236935,0.049131846986711,0.034554101297140,0.006229093323340,1517.961669983342290
,ERI,59,4893,122325000000.000000000000000,0.009933581575751,0.077737279236317,0.067803697660565,0.039630468697043,0.009364799665032,193.911883334629238
,ESH,60,10204,255100000000.000000000000000,0.015109015628695,0.054171353578568,0.039062337949872,0.028166773506144,0.005537819320350,287.413756856694818
,ESP,61,25851,646275000000.000000000000000,0.002680175704882,0.121646054089069,0.118965878384188,0.027687580019267,0.015102176068738,715.751631078077480
,EST,62,3358,83950000000.000000000000000,0.007296664640307,0.051580842584372,0.044284177944064,0.018448495148404,0.006262027852251,61.950046708341688
,ETH,63,46041,1151025000000.000000000000000,0.006607988383621,0.077766120433807,0.071158132050186,0.028509250756723,0.010231303104130,1312.594414090272039
,FIN,64,30703,767575000000.000000000000000,0.004416739102453,0.140491664409637,0.136074925307184,0.031837414761581,0.022020004485651,977.504145424813032
,FRA,66,31544,788600000000.000000000000000,0.004183228127658,0.132294088602066,0.128110860474408,0.022018526835314,0.007231657707063,694.552410493139178
,GAB,69,10552,263800000000.000000000000000,0.002858747029677,0.059383083134890,0.056524336105213,0.012095066839674,0.004944786982851,127.627145292237401
,GBR,70,15382,384550000000.000000000000000,0.005945756100118,0.055359113961458,0.049413357861340,0.020105974995245,0.005316469376545,309.270107376854867
,GEO,71,3687,92175000000.000000000000000,0.000444973615231,0.132257506251335,0.131812532636104,0.024664633600213,0.012731298310330,90.938504083984299
,GHA,73,9667,241675000000.000000000000000,0.003737923922017,0.097466059029102,0.093728135107085,0.022006390594260,0.010935378018476,212.735777874710038
,GIN,74,9963,249075000000.000000000000000,0.004259048961103,0.080786496400833,0.076527447439730,0.026053730534053,0.008452378113477,259.573317310772836
,GMB,76,430,10750000000.000000000000000,0.009386847727001,0.091489151120186,0.082102303393185,0.050338080826454,0.015872677514874,21.645374755375087
,GNB,77,1205,30125000000.000000000000000,0.005890319589525,0.084371589124203,0.078481269534677,0.041085983710016,0.011931773605569,49.508610370568931
,GNQ,78,1077,26925000000.000000000000000,0.003266662824899,0.033568549901247,0.030301887076348,0.010061847703435,0.004849804849619,10.836609976598993
,GRC,79,5845,146125000000.000000000000000,0.004221696406603,0.093821898102760,0.089600201696157,0.028912649765831,0.012253510513472,168.994437881279737
,GRL,81,33375,834375000000.000000000000000,0.031663998961449,0.152008131146431,0.120344132184982,0.122947819197111,0.017611398879752,4103.383465703576803
,GTM,82,4505,112625000000.000000000000000,0.002384511753917,0.075213603675365,0.072829091921449,0.018281323152783,0.008712468469692,82.357360803289339
,GUF,83,3349,83725000000.000000000000000,0.004539323970675,0.027351042255759,0.022811718285084,0.012800397650470,0.002226797364289,42.868531731422991
,GUY,85,8444,211100000000.000000000000000,0.002995946444571,0.038713559508324,0.035717613063753,0.013517128536478,0.004701080448484,114.138633362017572
,HKG,86,30,750000000.000000000000000,0.004525917582214,0.034373998641968,0.029848081059754,0.019190290741002,0.007062775893880,0.575708722230047
,HND,87,4597,114925000000.000000000000000,0.002991299377754,0.063164934515953,0.060173635138199,0.021437284226894,0.009310499367650,98.547195591032505
,HRV,88,3008,75200000000.000000000000000,0.007772990968078,0.071886308491230,0.064113317523152,0.024727135385044,0.008273190933588,74.379223238211125
,HTI,89,128,3200000000.000000000000000,0.010177974589169,0.040951080620289,0.030773106031120,0.020023181510624,0.006104263574808,2.562967233359814
,HUN,90,5474,136850000000.000000000000000,0.011098009534180,0.077399015426636,0.066301005892456,0.034573413402381,0.009021222316323,189.254864964634180
,IDN,91,70896,1772400000000.000000000000000,0.000676881230902,0.088030248880386,0.087353367649484,0.018056749205337,0.009296658467955,1280.151291661604773
,IMN,92,29,725000000.000000000000000,0.010385520756245,0.025699930265546,0.015314409509301,0.017901083904094,0.003436086691764,0.519131433218718
,IND,93,137274,3431850000000.000000000000000,0.000000000000000,0.211421772837639,0.211421772837639,0.021616315407750,0.017043098073079,2967.358081283484353
,IRL,94,4312,107800000000.000000000000000,0.007216508034617,0.045142002403736,0.037925494369119,0.020227060965042,0.005177543385168,87.219086881261319
,IRN,95,76860,1921500000000.000000000000000,0.000858213927131,0.167830541729927,0.166972327802796,0.030984950398248,0.020073497072058,2381.503287609317340
,IRQ,96,21001,525025000000.000000000000000,0.007443310227245,0.063203863799572,0.055760553572327,0.032731914273914,0.007362673030048,687.402931666467339
,ISL,97,8935,223375000000.000000000000000,0.004435170907527,0.086269438266754,0.081834267359227,0.033749455620525,0.022936117301770,301.551385969389230
,ISR,98,1009,25225000000.000000000000000,0.008079040795565,0.057409308850765,0.049330268055201,0.031224792246311,0.008715725571725,31.505815376527607
,ITA,99,15799,394975000000.000000000000000,0.001951177720912,0.138112157583237,0.136160979862325,0.027138923386838,0.012154289692420,428.767850588657893
,JOR,102,4179,104475000000.000000000000000,0.014601647853851,0.072140760719776,0.057539112865925,0.035850532926560,0.005565084889213,149.819377100095153
,JPN,103,17290,432250000000.000000000000000,0.008436908014119,0.093170873820782,0.084733965806663,0.033224116063727,0.011095242246175,574.444966741837561
,KAZ,104,162412,4060300000000.000000000000000,0.000093742855825,0.154356300830841,0.154262557975017,0.011336465526951,0.009155437467691,1841.178039163220092
,KEN,105,23533,588325000000.000000000000000,0.004746040329337,0.098366104066372,0.093620063737035,0.027511054257858,0.009250772435585,647.417639850173146
,KGZ,106,10614,265350000000.000000000000000,0.000000000000000,0.163872808218002,0.163872808218002,0.014829919896437,0.030663420172850,157.404769780780043
,KHM,107,7421,185525000000.000000000000000,0.001887482125312,0.103147163987160,0.101259681861848,0.020032581284369,0.014495634743799,148.661785711301491
,KOR,109,4474,111850000000.000000000000000,0.010547910816967,0.191124916076660,0.180577005259693,0.057227970469805,0.015707947651550,256.037939881905913
,KWT,110,761,19025000000.000000000000000,0.021774599328637,0.049375221133232,0.027600621804595,0.032493124075929,0.004464498702122,24.727267421782017
,LAO,111,9773,244325000000.000000000000000,0.001512659830041,0.061855707317591,0.060343047487549,0.016512422397410,0.007864768035493,161.375904089887626
,LBN,112,455,11375000000.000000000000000,0.007807513698936,0.140621230006218,0.132813716307282,0.036144198946000,0.026061906454370,16.445610520429909
,LBR,113,3819,95475000000.000000000000000,0.001513960887678,0.073338791728020,0.071824830840342,0.018291658909305,0.013792485613148,69.855845374637283
,LBY,114,72799,1819975000000.000000000000000,0.009186943992972,0.079669006168842,0.070482062175870,0.035360885477265,0.005096304119187,2574.237101859413087
,LIE,116,10,250000000.000000000000000,0.010358843021095,0.023996267467737,0.013637424446642,0.018019192665815,0.004364474776894,0.180191926658154
,LKA,117,2548,63700000000.000000000000000,0.003383861621842,0.093777030706406,0.090393169084564,0.017735355976659,0.010195698390296,45.189687028527260
,LSO,118,1409,35225000000.000000000000000,0.007615291513503,0.078561246395111,0.070945954881608,0.020887386438492,0.006476492889378,29.430327491834760
,LTU,119,4551,113775000000.000000000000000,0.006822540890425,0.047320384532213,0.040497843641788,0.020343954283114,0.004970401649970,92.585335942450911
,LUX,120,158,3950000000.000000000000000,0.009269907139242,0.030660269781947,0.021390362642705,0.018948861822203,0.004647240679656,2.993920167908072
,LVA,121,4641,116025000000.000000000000000,0.005417006555945,0.043567217886448,0.038150211330503,0.017427623690646,0.003993711805988,80.881601548288018
,MAR,123,19387,484675000000.000000000000000,0.001919632661156,0.164620772004128,0.162701139342971,0.042567734153891,0.024139974349463,825.260662041488104
,MDA,124,1993,49825000000.000000000000000,0.008710879832506,0.078914552927017,0.070203673094511,0.032152967175634,0.009860299428361,64.080863581039011
,MDG,125,17940,448500000000.000000000000000,0.004745902027935,0.087195545434952,0.082449643407017,0.026520433913841,0.009823543208556,475.776584414299577
,MEX,126,84862,2121550000000.000000000000000,0.001993432175368,0.149523988366127,0.147530556190759,0.028499239437333,0.010425205848388,2418.502457130933180
,MKD,127,1325,33125000000.000000000000000,0.003431577468291,0.081975534558296,0.078543957090005,0.017106647927595,0.007049206237583,22.666308504063636
,MLI,128,52791,1319775000000.000000000000000,0.005595360416919,0.058676101267338,0.053080740850419,0.031049994271163,0.007592397510569,1639.160247568972409
,MMR,130,28280,707000000000.000000000000000,0.001307783881202,0.091967396438122,0.090659612556919,0.020254095120594,0.010187440001482,572.785810010391288
,MNE,131,715,17875000000.000000000000000,0.006209407933056,0.070299006998539,0.064089599065483,0.021436077427327,0.012390473792874,15.326795360539109
,MNG,132,91611,2290275000000.000000000000000,0.000000000000000,0.146627947688103,0.146627947688103,0.007556864320974,0.010398836596111,692.291897308783518
,MOZ,134,32855,821375000000.000000000000000,0.003583689453080,0.076655901968479,0.073072212515399,0.025902305189751,0.009004556219850,851.020237009273842
,MRT,135,44558,1113950000000.000000000000000,0.015993185341358,0.056231077760458,0.040237892419100,0.031518831228913,0.005074885371093,1404.416081897914410
,MWI,139,4637,115925000000.000000000000000,0.008348490111530,0.112905204296112,0.104556714184582,0.031092299369773,0.010002045407615,144.174992177635431
,MYS,140,12805,320125000000.000000000000000,0.000636415265035,0.075736321508884,0.075099906243850,0.012976534075358,0.008387380760138,166.164518834964838
,NAM,142,35697,892425000000.000000000000000,0.009392715990543,0.145661458373070,0.136268742382526,0.034909258766234,0.009655073345991,1246.155810178257525
,NER,144,49960,1249000000000.000000000000000,0.008642625994980,0.068003892898560,0.059361266903579,0.035684839987458,0.005209562030606,1782.814605773426592
,NGA,145,36946,923650000000.000000000000000,0.002711931476370,0.088730558753014,0.086018627276644,0.020754275572720,0.009608058737022,766.787465309724212
,NIC,146,5183,129575000000.000000000000000,0.003287166822702,0.073164463043213,0.069877296220511,0.022164702153481,0.012058320814594,114.879651261493564
,NLD,147,2143,53575000000.000000000000000,0.008248277939856,0.050579335540533,0.042331057600677,0.023155047600403,0.005424299658265,49.621267007663846
,NOR,148,26989,674725000000.000000000000000,0.001970812445506,0.138844981789589,0.136874169344082,0.034983348766690,0.029096182064334,944.165599864209071
,NPL,149,6672,166800000000.000000000000000,0.000000000000000,0.179315447807312,0.179315447807312,0.026256836165536,0.025224821869914,175.185610896456637
,OMN,152,13074,326850000000.000000000000000,0.014897806569934,0.068871065974236,0.053973259404302,0.035520253400536,0.007996086184835,464.391792958602309
,PAK,153,40394,1009850000000.000000000000000,0.000926349952351,0.179332897067070,0.178406547114719,0.036447205178616,0.023452091988948,1472.248405985010322
,PAN,154,2787,69675000000.000000000000000,0.002548603340983,0.060630347579718,0.058081744238734,0.017068323103750,0.008511494553096,47.569416490150616
,PER,155,52603,1315075000000.000000000000000,0.000932589988224,0.211373984813690,0.210441394825466,0.020197262756257,0.020480898242731,1062.436612767400220
,PHL,156,10493,262325000000.000000000000000,0.002039555693045,0.078844211995602,0.076804656302556,0.018349546112611,0.009564051330963,192.541787359630689
,PNG,158,17235,430875000000.000000000000000,0.002106056781486,0.069116018712521,0.067009961931035,0.020826463677661,0.007025084059775,358.944101484492421
,POL,159,20177,504425000000.000000000000000,0.006725599057972,0.056737840175629,0.050012241117656,0.022815263084356,0.005875187476187,460.343563253059983
,PRK,161,6250,156250000000.000000000000000,0.003606680082157,0.100101068615913,0.096494388533756,0.032216810399778,0.015206037345579,201.355064998613670
,PRT,162,4477,111925000000.000000000000000,0.011281949467957,0.080839671194553,0.069557721726596,0.034551173174595,0.010216593083572,154.685602302663028
,PRY,163,17484,437100000000.000000000000000,0.004043522756547,0.080262802541256,0.076219279784709,0.024935663286771,0.005589078847281,435.975136905908585
,PSE,164,294,7350000000.000000000000000,0.012878671288490,0.065496943891048,0.052618272602558,0.035382018836380,0.009219333587721,10.402313537895679
,QAT,166,481,12025000000.000000000000000,0.022767810150981,0.052746698260307,0.029978888109326,0.032208789960944,0.004415533029004,15.492427971214056
,ROU,168,13645,341125000000.000000000000000,0.004003228154033,0.087613478302956,0.083610250148922,0.026860339312581,0.010785981518847,366.509329920168966
,RUS,169,1407212,35180300000000.000000000000000,0.000238912165514,0.156057089567184,0.155818177401670,0.048401364531438,0.035059175881182,68110.980985014539328
,RWA,170,965,24125000000.000000000000000,0.004239910747856,0.060984741896391,0.056744831148535,0.028503390881257,0.006147122776174,27.505772200413048
,SAU,171,84171,2104275000000.000000000000000,0.014455776661634,0.070751398801804,0.056295622140169,0.036039533829172,0.005922104744494,3033.483601935207844
,SDN,172,78413,1960325000000.000000000000000,0.013338112272322,0.074542246758938,0.061204134486616,0.034970026994689,0.006987026854541,2742.104726734571159
,SEN,173,8081,202025000000.000000000000000,0.008915438316762,0.095182724297047,0.086267285980284,0.042953309590589,0.012154534653959,347.105694801546633
,SGP,174,19,475000000.000000000000000,0.008623486384749,0.031647212803364,0.023023726418614,0.016026594234925,0.005351102758425,0.304505290463567
,SLE,178,2888,72200000000.000000000000000,0.004458153620362,0.075570993125439,0.071112839505076,0.026608774090061,0.010831850766115,76.846139572095126
,SLV,179,792,19800000000.000000000000000,0.004087187349796,0.076152876019478,0.072065688669682,0.018623613163881,0.006934563460035,14.749901625793427
,SMR,180,3,75000000.000000000000000,0.023552628234029,0.032124944031239,0.008572315797210,0.027865016832948,0.003499829870217,0.083595050498843
,SOM,181,25457,636425000000.000000000000000,0.008370433002710,0.081105351448059,0.072734918445349,0.034300386521171,0.010576920388995,873.184939669445157
,SRB,183,4337,108425000000.000000000000000,0.006497594062239,0.065568804740906,0.059071210678667,0.022411868209610,0.006859253503914,97.200272425077856
,SSD,184,25487,637175000000.000000000000000,0.009100080467761,0.046599868685007,0.037499788217247,0.023939901693751,0.005448417482190,610.156274468638003
,SUR,186,5867,146675000000.000000000000000,0.005359615664929,0.055719044059515,0.050359428394586,0.013602611883581,0.004702527658661,79.806523920968175
,SVK,187,2969,74225000000.000000000000000,0.004532303195447,0.067124269902706,0.062591966707259,0.024910655729636,0.008222882721215,73.959736861288548
,SVN,188,1146,28650000000.000000000000000,0.006742079276592,0.042032558470964,0.035290479194373,0.020312689208583,0.005251886918714,23.278341833036393
,SWE,189,38396,959900000000.000000000000000,0.002484680153430,0.139786615967751,0.137301935814321,0.032203716351470,0.024368879172351,1236.493893031030893
,SWZ,190,786,19650000000.000000000000000,0.011625430546701,0.043713662773371,0.032088232226670,0.023464345208514,0.005533808727324,18.442975333891809
,SYR,192,9099,227475000000.000000000000000,0.004378356505185,0.129931345582008,0.125552989076823,0.036891254827119,0.008076621623315,335.673527671955526
,TCD,194,53111,1327775000000.000000000000000,0.007783283479512,0.062062010169029,0.054278726689517,0.030896084024970,0.006834855220896,1640.921918650157750
,TGO,195,2317,57925000000.000000000000000,0.005376210901886,0.045152068138123,0.039775857236236,0.020611408318525,0.006721155544551,47.756633074022830
,THA,196,21151,528775000000.000000000000000,0.000300836050883,0.141184046864510,0.140883210813627,0.017320046850837,0.014049583668753,366.336310942046111
,TJK,197,7283,182075000000.000000000000000,0.000143892000779,0.194239765405655,0.194095873404876,0.039667801908661,0.048464330551748,288.900601300774724
,TKM,199,24224,605600000000.000000000000000,0.001030434505083,0.112274169921875,0.111243735416792,0.031454995901723,0.015546877612691,761.965820723329671
,TLS,200,539,13475000000.000000000000000,0.006591971497983,0.046277392655611,0.039685421157628,0.021306569179164,0.006305480726517,11.484240787569433
,TTO,202,167,4175000000.000000000000000,0.005020703654736,0.048854742199183,0.043834038544446,0.016371422762352,0.007662877351776,2.734027601312846
,TUN,203,7381,184525000000.000000000000000,0.010986061766744,0.101020693778992,0.090034632012248,0.033141211797470,0.009929771425415,244.615284277126193
,TUR,204,39657,991425000000.000000000000000,0.000064858890255,0.140183791518211,0.140118932627956,0.014846482082971,0.013790957566423,588.766939964370977
,TWN,206,1474,36850000000.000000000000000,0.003076305380091,0.133134365081787,0.130058059701696,0.028049447113905,0.014095128594800,41.344885045895353
,TZA,207,37016,925400000000.000000000000000,0.003567325416952,0.082376532256603,0.078809206839651,0.028049708019592,0.008518917847020,1038.287992053199559
,UGA,208,9119,227975000000.000000000000000,0.004864693619311,0.083141624927521,0.078276931308210,0.032935945500574,0.011913427297963,300.342887019738555
,UKR,209,36432,910800000000.000000000000000,0.002740469761193,0.056841753423214,0.054101283662021,0.020525058142873,0.007494144124862,747.768918261164799
,URY,211,8414,210350000000.000000000000000,0.004322959575802,0.079334676265717,0.075011716689914,0.018774817478764,0.005511738089651,157.971314266324043
,USA,212,523868,13096700000000.000000000000000,0.000374695955543,0.183191731572151,0.182817035616608,0.030497102593165,0.028373739927198,15976.456141276168637
,UZB,213,22845,571125000000.000000000000000,0.001103379880078,0.109284199774265,0.108180819894187,0.020006637438914,0.014869686329761,457.051632291986607
,VEN,215,36638,915950000000.000000000000000,0.002084513660520,0.086713023483753,0.084628509823233,0.020469091248121,0.009698622519021,749.946565148653463
,VNM,218,13598,339950000000.000000000000000,0.002498433459550,0.124082513153553,0.121584079694003,0.023367494449809,0.013899420811945,317.751189528498799
,XAD,222,5,125000000.000000000000000,0.017692703753710,0.047263197600842,0.029570493847132,0.027129389718175,0.010778565400030,0.135646948590875
,XKO,223,595,14875000000.000000000000000,0.007330706808716,0.058391224592924,0.051060517784208,0.022718616974924,0.007450102646217,13.517577100079507
,XNC,224,97,2425000000.000000000000000,0.010725359432399,0.051722284406424,0.040996924974024,0.029379417889358,0.010159868769823,2.849803535267711
,YEM,225,18583,464575000000.000000000000000,0.009561397135258,0.080617807805538,0.071056410670280,0.037204155723277,0.006220779452588,691.364825805649161
,ZAF,226,55725,1393125000000.000000000000000,0.006268454249948,0.159580871462822,0.153312417212874,0.035584454769122,0.014609952966957,1982.943742009345442
,ZMB,227,31103,777575000000.000000000000000,0.007549381814897,0.062690034508705,0.055140652693808,0.029141793572516,0.006753121556517,906.397205485962331
,ZWE,228,16622,415550000000.000000000000000,0.008976931683719,0.070896402001381,0.061919470317662,0.027817904796564,0.005612159201371,462.389213528484106